tag,genre
',misc
'21st century classical',orchestra
'5th gen k-pop',kpop
'8d',misc
'acoustic pop',pop
'adult standards',pop
'african-american classical',orchestra
'afro house',edm
'afrobeats',pop
'album rock',rock
'alt z',genz/indie
'alté',genz/indie
'alternative ccm',genz/indie
'alternative emo',pop punk
'alternative hip hop',hiphop
'alternative metal',rock
'alternative pop rock',rock
'alternative r&b',rnb
'alternative rock',rock
'ambient',rock
'american choir',orchestra
'american contemporary classical',orchestra
'american metalcore',rock
'anime lo-fi',jpop
'anime rap',jpop
'anime score',anime
'anime',anime
'anthem emo',pop punk
'antiviral pop',pop
'art pop',genz/indie
'art pop',pop
'asheville indie',genz/indie
'atl hip hop',hiphop
'atl trap',hiphop
'australian house',edm
'australian indie folk',genz/indie
'australian pop',pop
'australian r&b',rnb
'baltic classical',orchestra
'banda',misc
'barbadian pop',pop
'baroque pop',folk
'baroque',orchestra
'bedroom pop',genz/indie
'bedroom r&b',rnb
'bedroom soul',genz/indie
'belgian dance',edm
'big band',oldies
'big room',edm
'black metal',rock
'black punk',pop punk
'bossbeat',rock
'boy band',pop
'boy soprano',orchestra
'brazilian bass',edm
'breakbeat',edm
'breakcore',edm
'brighton indie',genz/indie
'brill building pop',rock
'brisbane indie',genz/indie
'british contemporary classical',orchestra
'british invasion',rock
'british singer-songwriter',genz/indie
'british soul',pop
'broadway',hollywood
'brooklyn drill',hiphop
'brostep',edm
'bubblegum pop',pop
'c-pop',cpop
'cali rap',hiphop
'canadian contemporary r&b',pop
'canadian electronic',edm
'canadian folk',pop
'canadian hip hop',hiphop
'canadian pop punk',pop punk
'canadian pop',pop
'canadian rock',pop punk
'candy pop',pop
'ccm',christian
'celtic rock',rock
'celtic',orchestra
'chamber pop',pop
'chamber psych',misc
'channel pop',pop
'chicago drill',hiphop
'chicago pop punk',pop punk
'chicago punk',pop punk
'chicago rap',hiphop
'chill abstract hip hop',hiphop
'chill pop',pop
'chill r&b',rnb
'chillstep',edm
'chillwave',edm
'chinese electropop',kpop
'chinese hip hop',hiphop
'chinese idol pop',kpop
'chinese indie',cpop
'chinese r&b',rnb
'choral',orchestra
'christian alternative rock',christian
'christian country',christian
'christian folk',christian
'christian hip hop',christian
'christian indie folk',genz/indie
'christian pop',christian
'christian rock',christian
'christmas',oldies
'cincinnati rap',hiphop
'city pop',pop
'classic k-pop',kpop
'classic oklahoma country',country
'classic praise',christian
'classic rock',rock
'classic russian rock',rock
'classic soul',oldies
'classical',orchestra
'cloud rap',hiphop
'college a cappella',orchestra
'comic',genz/indie
'complextro',edm
'compositional ambient',orchestra
'conscious hip hop',hiphop
'contemporary country',country
'corecore',genz/indie
'country hip hop',country
'country',country
'dallas indie',genz/indie
'dance pop',pop
'dance rock',rock
'dark r&b',rnb
'dark trap',hiphop
'darkwave',edm
'dc indie',genz/indie
'deep adult standards',rock
'deep underground hip hop',genz/indie
'dfw rap',hiphop
'doo-wop',rock
'dronescape',folk
'dubstep',edm
'dutch edm',edm
'dutch house',edm
'easycore',pop punk
'edm trap',edm
'edm',edm
'electropop',genz/indie
'electropop',pop
'emo pop',pop
'emo rap',hiphop
'emo',pop punk
'english indie rock',genz/indie
'epicore',folk
'epicore',hollywood
'escape room',rock
'eurodance',edm
'europop',pop
'fantasy',folk
'focus',misc
'folk pop',folk
'folk punk',folk
'folk-pop',folk
'folk',folk
'funk pop',pop
'funk',genz/indie
'future house',edm
'garage rock',rock
'gen z singer-songwriter',genz/indie
'german pop rock',rock
'german soundtrack',hollywood
'girl group',hollywood
'glam rock',rock
'gospel',christian
'grime',hiphop
'gymcore',rock
'hard rock',rock
'hip hop',hiphop
'hollywood',hollywood
'hong kong hip hop',hiphop
'hopebeat',genz/indie
'houston rap',hiphop
'hyperpop',pop
'indie anthem-folk',genz/indie
'indie electropop',genz/indie
'indie folk',genz/indie
'indie pop rap',genz/indie
'indie pop',genz/indie
'indie poptimism',genz/indie
